"ano_pesquisa","cargo","senioridade","total_profissionais","pct_do_ano"
"2023","Não informado","Não informado","1436","27.13"
"2023","Analista de Dados/Data Analyst","Pleno","360","6.8"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","325","6.14"
"2023","Analista de Dados/Data Analyst","Júnior","277","5.23"
"2023","Cientista de Dados/Data Scientist","Sênior","272","5.14"
"2023","Analista de Dados/Data Analyst","Sênior","270","5.1"
"2023","Cientista de Dados/Data Scientist","Pleno","250","4.72"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","234","4.42"
"2023","Analista de BI/BI Analyst","Pleno","200","3.78"
"2023","Analista de BI/BI Analyst","Júnior","176","3.33"
"2023","Cientista de Dados/Data Scientist","Júnior","165","3.12"
"2023","Analista de BI/BI Analyst","Sênior","130","2.46"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Júnior","125","2.36"
"2023","Outra Opção","Júnior","122","2.3"
"2023","Analista de Negócios/Business Analyst","Sênior","83","1.57"
"2023","Outra Opção","Pleno","73","1.38"
"2023","Analytics Engineer","Sênior","69","1.3"
"2023","Analista de Negócios/Business Analyst","Pleno","69","1.3"
"2023","Outra Opção","Sênior","67","1.27"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","55","1.04"
"2023","Analytics Engineer","Pleno","52","0.98"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","51","0.96"
"2023","Analista de Negócios/Business Analyst","Júnior","43","0.81"
"2023","Analista de Suporte/Analista Técnico","Pleno","31","0.59"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","30","0.57"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","29","0.55"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","28","0.53"
"2023","Analista de Suporte/Analista Técnico","Júnior","26","0.49"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","26","0.49"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Pleno","18","0.34"
"2023","Analytics Engineer","Júnior","18","0.34"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Júnior","16","0.3"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Júnior","16","0.3"
"2023","Analista de Suporte/Analista Técnico","Sênior","15","0.28"
"2023","Analista de Inteligência de Mercado/Market Intelligence","Pleno","15","0.28"
"2023","Professor/Pesquisador","Sênior","13","0.25"
"2023","DBA/Administrador de Banco de Dados","Sênior","13","0.25"
"2023","Outras Engenharias (não inclui dev)","Sênior","12","0.23"
