"ano_pesquisa","setor","total_profissionais","pct_do_ano"
"2023","Finanças ou Bancos","927","17.51"
"2023","Tecnologia/Fábrica de Software","857","16.19"
"2023","Não informado","540","10.2"
"2023","Varejo","392","7.41"
"2023","Área de Consultoria","389","7.35"
"2023","Outra Opção","344","6.5"
"2023","Indústria","313","5.91"
"2023","Educação","209","3.95"
"2023","Área da Saúde","201","3.8"
"2023","Setor Público","174","3.29"
"2023","Internet/Ecommerce","129","2.44"
"2023","Telecomunicação","115","2.17"
"2023","Marketing","115","2.17"
"2023","Setor Alimentício","109","2.06"
"2023","Agronegócios","92","1.74"
"2023","Setor de Energia","84","1.59"
"2023","Seguros ou Previdência","68","1.28"
"2023","Setor Imobiliário/ Construção Civil","66","1.25"
"2023","Entretenimento ou Esportes","59","1.11"
"2023","Setor Automotivo","53","1.0"
"2023","Setor Farmaceutico","29","0.55"
"2023","Filantropia/ONG's","28","0.53"
"2024","Finanças ou Bancos","1035","19.85"
"2024","Tecnologia/Fábrica de Software","941","18.04"
"2024","Varejo","380","7.29"
"2024","Não informado","354","6.79"
"2024","Área de Consultoria","353","6.77"
"2024","Outra Opção","332","6.37"
"2024","Indústria","328","6.29"
"2024","Área da Saúde","195","3.74"
"2024","Educação","194","3.72"
"2024","Internet/Ecommerce","153","2.93"
"2024","Setor Alimentício","143","2.74"
"2024","Setor Público","142","2.72"
"2024","Marketing","114","2.19"
"2024","Telecomunicação","103","1.98"
"2024","Agronegócios","84","1.61"
"2024","Setor de Energia","82","1.57"
"2024","Setor Imobiliário/ Construção Civil","74","1.42"
"2024","Seguros ou Previdência","65","1.25"
"2024","Setor Automotivo","55","1.05"
"2024","Entretenimento ou Esportes","46","0.88"
"2024","Setor Farmaceutico","27","0.52"
"2024","Filantropia/ONG's","15","0.29"
"2025","Finanças ou Bancos","598","17.12"
"2025","Tecnologia/Fábrica de Software","563","16.11"
"2025","Área de Consultoria","285","8.16"
"2025","Não informado","267","7.64"
"2025","Outra Opção","243","6.95"
"2025","Indústria","237","6.78"
"2025","Varejo","181","5.18"
"2025","Educação","163","4.67"
"2025","Setor Público","136","3.89"
"2025","Área da Saúde","128","3.66"
"2025","Internet/Ecommerce","105","3.01"
"2025","Marketing","93","2.66"
"2025","Telecomunicação","75","2.15"
"2025","Setor Alimentício","72","2.06"
"2025","Agronegócios","66","1.89"
"2025","Setor de Energia","58","1.66"
"2025","Setor Automotivo","53","1.52"
"2025","Setor Imobiliário/ Construção Civil","46","1.32"
"2025","Seguros ou Previdência","43","1.23"
"2025","Entretenimento ou Esportes","43","1.23"
"2025","Filantropia/ONG's","22","0.63"
"2025","Setor Farmaceutico","17","0.49"
