"ano_pesquisa","tamanho_time_dados","total_empresas_respondentes","pct_do_ano"
"2023","Não informado","4397","83.07"
"2023","Acima de 300 pessoas","169","3.19"
"2023","1 - 3","168","3.17"
"2023","4 - 10","137","2.59"
"2023","11 - 20","107","2.02"
"2023","21 - 50","92","1.74"
"2023","101 - 300","88","1.66"
"2023","51 - 100","84","1.59"
"2023","Ainda não temos pessoas atuando com dados na empresa","51","0.96"
"2024","Não informado","4170","79.96"
"2024","Acima de 300 pessoas","249","4.77"
"2024","4 - 10","179","3.43"
"2024","1 - 3","164","3.14"
"2024","101 - 300","120","2.3"
"2024","11 - 20","106","2.03"
"2024","21 - 50","90","1.73"
"2024","51 - 100","86","1.65"
"2024","Ainda não temos pessoas atuando com dados na empresa","51","0.98"
"2025","Não informado","2842","81.34"
"2025","4 - 10","129","3.69"
"2025","1 - 3","127","3.63"
"2025","Acima de 300 pessoas","106","3.03"
"2025","21 - 50","76","2.18"
"2025","11 - 20","76","2.18"
"2025","101 - 300","49","1.4"
"2025","Ainda não temos pessoas atuando com dados na empresa","45","1.29"
"2025","51 - 100","44","1.26"
