"ano_pesquisa","cargo","senioridade","faixa_salarial","salario_inicial","total_profissionais"
"2023","Não informado","Não informado","Acima de R$ 40.001/mês","40001","44"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","Acima de R$ 40.001/mês","40001","10"
"2023","Cientista de Dados/Data Scientist","Sênior","Acima de R$ 40.001/mês","40001","7"
"2023","Outra Opção","Sênior","Acima de R$ 40.001/mês","40001","3"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","Acima de R$ 40.001/mês","40001","2"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","Acima de R$ 40.001/mês","40001","1"
"2023","Professor/Pesquisador","Sênior","Acima de R$ 40.001/mês","40001","1"
"2023","Analista de Dados/Data Analyst","Pleno","Acima de R$ 40.001/mês","40001","1"
"2023","Analista de BI/BI Analyst","Pleno","Acima de R$ 40.001/mês","40001","1"
"2023","DBA/Administrador de Banco de Dados","Sênior","Acima de R$ 40.001/mês","40001","1"
"2023","Analista de Dados/Data Analyst","Sênior","Acima de R$ 40.001/mês","40001","1"
"2023","Não informado","Não informado","de R$ 30.001/mês a R$ 40.000/mês","30001","50"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","13"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","6"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","3"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","3"
"2023","Analytics Engineer","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","2"
"2023","Analista de Dados/Data Analyst","Pleno","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Pleno","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Professor/Pesquisador","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Estatístico","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Outras Engenharias (não inclui dev)","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Data Product Manager/ Product Manager (PM/APM/DPM/GPM/PO)","Sênior","de R$ 30.001/mês a R$ 40.000/mês","30001","1"
"2023","Não informado","Não informado","de R$ 25.001/mês a R$ 30.000/mês","25001","81"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","16"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","10"
"2023","Analytics Engineer","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","5"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","3"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 25.001/mês a R$ 30.000/mês","25001","3"
"2023","Outra Opção","Pleno","de R$ 25.001/mês a R$ 30.000/mês","25001","2"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","2"
"2023","Outra Opção","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","2"
"2023","Economista","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","1"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 25.001/mês a R$ 30.000/mês","25001","1"
"2023","Cientista de Dados/Data Scientist","Pleno","de R$ 25.001/mês a R$ 30.000/mês","25001","1"
"2023","Analytics Engineer","Pleno","de R$ 25.001/mês a R$ 30.000/mês","25001","1"
"2023","Não informado","Não informado","de R$ 20.001/mês a R$ 25.000/mês","20001","115"
"2023","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","30"
"2023","Cientista de Dados/Data Scientist","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","15"
"2023","Analista de Dados/Data Analyst","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","5"
"2023","Engenheiro de Machine Learning/ML Engineer/AI Engineer","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","4"
"2023","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","4"
"2023","Professor/Pesquisador","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","3"
"2023","Analista de BI/BI Analyst","Sênior","de R$ 20.001/mês a R$ 25.000/mês","20001","3"
