"ano_pesquisa","cargo","senioridade","genero","faixa_salarial","total_respondentes","pct_dentro_do_nivel"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","de R$ 1.001/mês a R$ 2.000/mês","16","9.09"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","de R$ 3.001/mês a R$ 4.000/mês","11","6.25"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","de R$ 4.001/mês a R$ 6.000/mês","11","6.25"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","de R$ 2.001/mês a R$ 3.000/mês","10","5.68"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","de R$ 6.001/mês a R$ 8.000/mês","5","2.84"
"2023","Analista de BI/BI Analyst","Júnior","Feminino","Menos de R$ 1.000/mês","1","0.57"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","de R$ 4.001/mês a R$ 6.000/mês","31","17.61"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","de R$ 1.001/mês a R$ 2.000/mês","29","16.48"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","de R$ 2.001/mês a R$ 3.000/mês","29","16.48"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","de R$ 3.001/mês a R$ 4.000/mês","26","14.77"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","de R$ 6.001/mês a R$ 8.000/mês","4","2.27"
"2023","Analista de BI/BI Analyst","Júnior","Masculino","Menos de R$ 1.000/mês","3","1.7"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 4.001/mês a R$ 6.000/mês","14","7.04"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 6.001/mês a R$ 8.000/mês","7","3.52"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 3.001/mês a R$ 4.000/mês","5","2.51"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 8.001/mês a R$ 12.000/mês","4","2.01"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 2.001/mês a R$ 3.000/mês","1","0.5"
"2023","Analista de BI/BI Analyst","Pleno","Feminino","de R$ 16.001/mês a R$ 20.000/mês","1","0.5"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 4.001/mês a R$ 6.000/mês","71","35.68"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 6.001/mês a R$ 8.000/mês","42","21.11"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 8.001/mês a R$ 12.000/mês","24","12.06"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 3.001/mês a R$ 4.000/mês","16","8.04"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 2.001/mês a R$ 3.000/mês","7","3.52"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 12.001/mês a R$ 16.000/mês","2","1.01"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 1.001/mês a R$ 2.000/mês","2","1.01"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 16.001/mês a R$ 20.000/mês","1","0.5"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","de R$ 20.001/mês a R$ 25.000/mês","1","0.5"
"2023","Analista de BI/BI Analyst","Pleno","Masculino","Acima de R$ 40.001/mês","1","0.5"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 8.001/mês a R$ 12.000/mês","10","7.69"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 12.001/mês a R$ 16.000/mês","4","3.08"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 6.001/mês a R$ 8.000/mês","4","3.08"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 4.001/mês a R$ 6.000/mês","2","1.54"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 2.001/mês a R$ 3.000/mês","1","0.77"
"2023","Analista de BI/BI Analyst","Sênior","Feminino","de R$ 25.001/mês a R$ 30.000/mês","1","0.77"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 8.001/mês a R$ 12.000/mês","45","34.62"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 6.001/mês a R$ 8.000/mês","29","22.31"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 12.001/mês a R$ 16.000/mês","14","10.77"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 4.001/mês a R$ 6.000/mês","10","7.69"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 20.001/mês a R$ 25.000/mês","3","2.31"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 3.001/mês a R$ 4.000/mês","3","2.31"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 25.001/mês a R$ 30.000/mês","2","1.54"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 30.001/mês a R$ 40.000/mês","1","0.77"
"2023","Analista de BI/BI Analyst","Sênior","Masculino","de R$ 16.001/mês a R$ 20.000/mês","1","0.77"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 4.001/mês a R$ 6.000/mês","26","9.42"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 1.001/mês a R$ 2.000/mês","24","8.7"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 3.001/mês a R$ 4.000/mês","14","5.07"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 2.001/mês a R$ 3.000/mês","12","4.35"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 6.001/mês a R$ 8.000/mês","5","1.81"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 8.001/mês a R$ 12.000/mês","2","0.72"
"2023","Analista de Dados/Data Analyst","Júnior","Feminino","de R$ 12.001/mês a R$ 16.000/mês","1","0.36"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 4.001/mês a R$ 6.000/mês","68","24.64"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 3.001/mês a R$ 4.000/mês","48","17.39"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 2.001/mês a R$ 3.000/mês","42","15.22"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 1.001/mês a R$ 2.000/mês","23","8.33"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 6.001/mês a R$ 8.000/mês","7","2.54"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","Menos de R$ 1.000/mês","2","0.72"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 16.001/mês a R$ 20.000/mês","1","0.36"
"2023","Analista de Dados/Data Analyst","Júnior","Masculino","de R$ 12.001/mês a R$ 16.000/mês","1","0.36"
"2023","Analista de Dados/Data Analyst","Pleno","Feminino","de R$ 6.001/mês a R$ 8.000/mês","37","10.28"
"2023","Analista de Dados/Data Analyst","Pleno","Feminino","de R$ 4.001/mês a R$ 6.000/mês","29","8.06"
