"ano_pesquisa","categoria","tecnologia","total_usuarios","total_respostas_validas","pct_adocao"
"2023","BI & Visualização","PowerBI","2649","3772","70.23"
"2023","BI & Visualização","Looker","2288","3772","60.66"
"2023","BI & Visualização","Tableau","2206","3772","58.48"
"2023","BI & Visualização","Qlik","1958","3772","51.91"
"2023","BI & Visualização","Metabase","324","3772","8.59"
"2023","BI & Visualização","Grafana","276","3772","7.32"
"2023","Bancos / Warehouses","PostgreSQL","1068","3772","28.31"
"2023","Bancos / Warehouses","BigQuery","983","3772","26.06"
"2023","Bancos / Warehouses","MySQL","927","3772","24.58"
"2023","Bancos / Warehouses","Databricks","920","3772","24.39"
"2023","Bancos / Warehouses","Athena","451","3772","11.96"
"2023","Bancos / Warehouses","MongoDB","428","3772","11.35"
"2023","Bancos / Warehouses","Redshift","414","3772","10.98"
"2023","Bancos / Warehouses","Snowflake","220","3772","5.83"
"2023","Cloud Providers","Azure","1529","3613","42.32"
"2023","Cloud Providers","GCP","1141","3613","31.58"
"2023","Cloud Providers","AWS","1106","3613","30.61"
"2023","Engenharia de Dados & ETL","Airflow","1002","3455","29.0"
"2023","Engenharia de Dados & ETL","Talend","758","2707","28.0"
"2023","Engenharia de Dados & ETL","Pentaho","960","3772","25.45"
"2023","Engenharia de Dados & ETL","Stitch","338","3455","9.78"
"2023","Engenharia de Dados & ETL","Fivetran","331","3455","9.58"
"2023","Engenharia de Dados & ETL","AWS Glue","229","2707","8.46"
"2023","Engenharia de Dados & ETL","NiFi","203","3455","5.88"
"2023","Linguagens","SQL","3558","3772","94.33"
"2023","Linguagens","Python","2937","3772","77.86"
"2023","Linguagens","Java","972","3772","25.77"
"2023","Linguagens","Scala","788","3772","20.89"
"2023","Linguagens","R","408","3772","10.82"
"2023","Linguagens","VBA","285","3772","7.56"
"2023","Linguagens","JavaScript","282","3772","7.48"
"2023","Linguagens","Julia","8","3772","0.21"
"2023","Linguagens","Rust","7","3772","0.19"
"2023","Linguagens","DAX","0","0",
"2024","BI & Visualização","PowerBI","2545","3617","70.36"
"2024","BI & Visualização","Looker","2171","3617","60.02"
"2024","BI & Visualização","Tableau","2110","3617","58.34"
"2024","BI & Visualização","Qlik","1866","3617","51.59"
"2024","BI & Visualização","Metabase","318","3617","8.79"
"2024","BI & Visualização","Grafana","290","3617","8.02"
"2024","Bancos / Warehouses","Databricks","1244","3606","34.5"
"2024","Bancos / Warehouses","PostgreSQL","1126","3587","31.39"
"2024","Bancos / Warehouses","BigQuery","941","3587","26.23"
"2024","Bancos / Warehouses","MySQL","832","3587","23.19"
"2024","Bancos / Warehouses","Athena","504","3587","14.05"
"2024","Bancos / Warehouses","MongoDB","411","3587","11.46"
"2024","Bancos / Warehouses","Redshift","364","3587","10.15"
"2024","Bancos / Warehouses","Snowflake","223","3587","6.22"
"2024","Cloud Providers","AWS","1583","3587","44.13"
"2024","Cloud Providers","Azure","1108","3587","30.89"
"2024","Cloud Providers","GCP","1049","3587","29.24"
"2024","Engenharia de Dados & ETL","Airflow","1017","3369","30.19"
"2024","Engenharia de Dados & ETL","Talend","687","2596","26.46"
"2024","Engenharia de Dados & ETL","Pentaho","922","3617","25.49"
"2024","Engenharia de Dados & ETL","Fivetran","368","3369","10.92"
"2024","Engenharia de Dados & ETL","Stitch","364","3369","10.8"
"2024","Engenharia de Dados & ETL","AWS Glue","248","2596","9.55"
"2024","Engenharia de Dados & ETL","NiFi","243","3369","7.21"
"2024","Linguagens","SQL","3504","3617","96.88"
"2024","Linguagens","Python","3045","3601","84.56"
"2024","Linguagens","Java","962","3592","26.78"
"2024","Linguagens","Scala","826","3592","23.0"
"2024","Linguagens","R","352","3587","9.81"
"2024","Linguagens","JavaScript","223","3587","6.22"
"2024","Linguagens","VBA","215","3587","5.99"
"2024","Linguagens","Rust","12","3587","0.33"
"2024","Linguagens","Julia","6","3587","0.17"
"2024","Linguagens","DAX","0","0",
"2025","BI & Visualização","PowerBI","1508","2105","71.64"
"2025","BI & Visualização","Looker","1228","2105","58.34"
"2025","BI & Visualização","Tableau","1141","2105","54.2"
"2025","BI & Visualização","Qlik","1052","2105","49.98"
"2025","BI & Visualização","Grafana","183","2105","8.69"
"2025","BI & Visualização","Metabase","177","2105","8.41"
"2025","Bancos / Warehouses","PostgreSQL","771","2095","36.8"
"2025","Bancos / Warehouses","Databricks","741","2102","35.25"
"2025","Bancos / Warehouses","MySQL","598","2095","28.54"
"2025","Bancos / Warehouses","BigQuery","566","2095","27.02"
"2025","Bancos / Warehouses","Athena","319","2095","15.23"
"2025","Bancos / Warehouses","MongoDB","310","2095","14.8"
"2025","Bancos / Warehouses","Redshift","230","2095","10.98"
"2025","Bancos / Warehouses","Snowflake","191","2095","9.12"
"2025","Cloud Providers","AWS","1011","2095","48.26"
"2025","Cloud Providers","Azure","730","2095","34.84"
"2025","Cloud Providers","GCP","647","2095","30.88"
"2025","Engenharia de Dados & ETL","Airflow","550","1984","27.72"
"2025","Engenharia de Dados & ETL","Talend","395","1495","26.42"
