"ano_pesquisa","senioridade","total_respondentes","pct_databricks","pct_snowflake","pct_cloud","pct_airflow"
"2023","Júnior","1046","17.4","3.35","66.44","14.53"
"2023","Não informado","1436","0.0","0.0","0.0","0.0"
"2023","Pleno","1392","23.78","4.96","77.59","26.44"
"2023","Sênior","1419","28.68","8.17","85.13","33.97"
"2024","Júnior","868","20.85","5.07","66.13","14.75"
"2024","Não informado","1399","0.0","0.0","0.0","0.0"
"2024","Pleno","1376","33.72","5.09","79.0","26.74"
"2024","Sênior","1572","38.1","6.93","86.7","33.14"
"2025","Especialista/Staff+","349","30.95","11.75","79.66","27.51"
"2025","Júnior","518","16.6","5.41","58.88","12.55"
"2025","Não informado","994","0.0","0.0","0.0","0.0"
"2025","Pleno","775","29.29","6.06","71.61","21.42"
"2025","Sênior","858","37.3","8.74","77.27","25.99"
