"ano_pesquisa","regiao","faixa_salarial","total_profissionais","pct_na_regiao"
"2023","Centro-oeste","de R$ 8.001/mês a R$ 12.000/mês","66","19.19"
"2023","Centro-oeste","de R$ 4.001/mês a R$ 6.000/mês","45","13.08"
"2023","Centro-oeste","Não informado","40","11.63"
"2023","Centro-oeste","de R$ 6.001/mês a R$ 8.000/mês","39","11.34"
"2023","Centro-oeste","de R$ 12.001/mês a R$ 16.000/mês","38","11.05"
"2023","Centro-oeste","de R$ 16.001/mês a R$ 20.000/mês","26","7.56"
"2023","Centro-oeste","de R$ 2.001/mês a R$ 3.000/mês","24","6.98"
"2023","Centro-oeste","de R$ 3.001/mês a R$ 4.000/mês","19","5.52"
"2023","Centro-oeste","de R$ 20.001/mês a R$ 25.000/mês","16","4.65"
"2023","Centro-oeste","de R$ 1.001/mês a R$ 2.000/mês","16","4.65"
"2023","Centro-oeste","de R$ 25.001/mês a R$ 30.000/mês","9","2.62"
"2023","Centro-oeste","de R$ 30.001/mês a R$ 40.000/mês","5","1.45"
"2023","Centro-oeste","Acima de R$ 40.001/mês","1","0.29"
"2023","Nordeste","Não informado","107","17.6"
"2023","Nordeste","de R$ 8.001/mês a R$ 12.000/mês","98","16.12"
"2023","Nordeste","de R$ 4.001/mês a R$ 6.000/mês","94","15.46"
"2023","Nordeste","de R$ 6.001/mês a R$ 8.000/mês","63","10.36"
"2023","Nordeste","de R$ 12.001/mês a R$ 16.000/mês","60","9.87"
"2023","Nordeste","de R$ 3.001/mês a R$ 4.000/mês","54","8.88"
"2023","Nordeste","de R$ 2.001/mês a R$ 3.000/mês","44","7.24"
"2023","Nordeste","de R$ 1.001/mês a R$ 2.000/mês","41","6.74"
"2023","Nordeste","de R$ 16.001/mês a R$ 20.000/mês","19","3.13"
"2023","Nordeste","de R$ 20.001/mês a R$ 25.000/mês","11","1.81"
"2023","Nordeste","Menos de R$ 1.000/mês","7","1.15"
"2023","Nordeste","de R$ 25.001/mês a R$ 30.000/mês","5","0.82"
"2023","Nordeste","Acima de R$ 40.001/mês","4","0.66"
"2023","Nordeste","de R$ 30.001/mês a R$ 40.000/mês","1","0.16"
"2023","Norte","de R$ 8.001/mês a R$ 12.000/mês","17","20.48"
"2023","Norte","de R$ 6.001/mês a R$ 8.000/mês","14","16.87"
"2023","Norte","Não informado","14","16.87"
"2023","Norte","de R$ 4.001/mês a R$ 6.000/mês","12","14.46"
"2023","Norte","de R$ 3.001/mês a R$ 4.000/mês","7","8.43"
"2023","Norte","de R$ 1.001/mês a R$ 2.000/mês","5","6.02"
"2023","Norte","de R$ 2.001/mês a R$ 3.000/mês","4","4.82"
"2023","Norte","de R$ 12.001/mês a R$ 16.000/mês","3","3.61"
"2023","Norte","Menos de R$ 1.000/mês","2","2.41"
"2023","Norte","de R$ 25.001/mês a R$ 30.000/mês","2","2.41"
"2023","Norte","de R$ 30.001/mês a R$ 40.000/mês","1","1.2"
"2023","Norte","de R$ 20.001/mês a R$ 25.000/mês","1","1.2"
"2023","Norte","de R$ 16.001/mês a R$ 20.000/mês","1","1.2"
"2023","Não informado","Não informado","21","16.94"
"2023","Não informado","de R$ 8.001/mês a R$ 12.000/mês","15","12.1"
"2023","Não informado","de R$ 12.001/mês a R$ 16.000/mês","13","10.48"
"2023","Não informado","de R$ 16.001/mês a R$ 20.000/mês","13","10.48"
"2023","Não informado","de R$ 25.001/mês a R$ 30.000/mês","11","8.87"
"2023","Não informado","de R$ 30.001/mês a R$ 40.000/mês","11","8.87"
"2023","Não informado","Acima de R$ 40.001/mês","10","8.06"
"2023","Não informado","de R$ 20.001/mês a R$ 25.000/mês","8","6.45"
"2023","Não informado","de R$ 6.001/mês a R$ 8.000/mês","8","6.45"
"2023","Não informado","de R$ 4.001/mês a R$ 6.000/mês","5","4.03"
"2023","Não informado","Menos de R$ 1.000/mês","3","2.42"
"2023","Não informado","de R$ 1.001/mês a R$ 2.000/mês","3","2.42"
"2023","Não informado","de R$ 3.001/mês a R$ 4.000/mês","3","2.42"
"2023","Sudeste","de R$ 8.001/mês a R$ 12.000/mês","636","20.04"
"2023","Sudeste","de R$ 12.001/mês a R$ 16.000/mês","423","13.33"
