"ano_pesquisa","fator","total_sim","pct_fator_relevante"
"2023","Salário / Remuneração","3846","81.36"
"2023","Flexibilidade / Trabalho Remoto","2762","58.43"
"2023","Plano de Carreira / Crescimento","1585","33.53"
"2023","Benefícios","1206","25.5"
"2024","Salário / Remuneração","4005","82.39"
"2024","Flexibilidade / Trabalho Remoto","2857","58.77"
"2024","Plano de Carreira / Crescimento","1543","31.74"
"2024","Benefícios","1355","27.87"
"2025","Salário / Remuneração","2717","84.2"
"2025","Flexibilidade / Trabalho Remoto","1870","57.95"
"2025","Plano de Carreira / Crescimento","1044","32.35"
"2025","Benefícios","882","27.33"
