"ano_pesquisa","desafio","total_sim","total_respostas_validas","pct_empresas_afetadas"
"2023","Falta de compreensão dos casos de uso","303","823","36.82"
"2023","Falta de expertise / Recursos","286","823","34.75"
"2023","Segurança e privacidade de dados","262","823","31.83"
"2023","ROI não comprovado","275","874","31.46"
"2023","Dados da empresa não estão prontos","252","823","30.62"
"2023","Falta de confiabilidade / Alucinação","129","823","15.67"
"2023","Preocupações com propriedade intelectual","121","823","14.7"
"2023","Incerteza na regulamentação","119","823","14.46"
"2023","Alta direção não vê valor / prioridade","89","823","10.81"
"2024","ROI não comprovado","417","1045","39.9"
"2024","Falta de compreensão dos casos de uso","334","974","34.29"
"2024","Falta de expertise / Recursos","328","974","33.68"
"2024","Segurança e privacidade de dados","314","974","32.24"
"2024","Dados da empresa não estão prontos","289","974","29.67"
"2024","Falta de confiabilidade / Alucinação","173","974","17.76"
"2024","Incerteza na regulamentação","124","974","12.73"
"2024","Preocupações com propriedade intelectual","123","974","12.63"
"2024","Alta direção não vê valor / prioridade","88","974","9.03"
"2025","Falta de expertise / Recursos","228","587","38.84"
"2025","Dados da empresa não estão prontos","216","587","36.8"
"2025","ROI não comprovado","214","652","32.82"
"2025","Falta de compreensão dos casos de uso","188","587","32.03"
"2025","Segurança e privacidade de dados","163","587","27.77"
"2025","Falta de confiabilidade / Alucinação","100","587","17.04"
"2025","Incerteza na regulamentação","58","587","9.88"
"2025","Preocupações com propriedade intelectual","54","587","9.2"
"2025","Alta direção não vê valor / prioridade","44","587","7.5"
